Arm,Reward,Algorithm
790,0,Thompson Sampling
791,1,Thompson Sampling
792,1,Thompson Sampling
793,0,Thompson Sampling
794,0,Thompson Sampling
795,1,Thompson Sampling
796,0,Thompson Sampling
797,1,Thompson Sampling
798,0,Thompson Sampling
799,1,Thompson Sampling
800,0,Thompson Sampling
801,1,Thompson Sampling
802,1,Thompson Sampling
803,1,Thompson Sampling
804,1,Thompson Sampling
805,1,Thompson Sampling
806,0,Thompson Sampling
807,1,Thompson Sampling
808,1,Thompson Sampling
809,0,Thompson Sampling
810,1,Thompson Sampling
811,1,Thompson Sampling
812,1,Thompson Sampling
813,1,Thompson Sampling
814,1,Thompson Sampling
815,1,Thompson Sampling
816,0,Thompson Sampling
817,1,Thompson Sampling
818,0,Thompson Sampling
819,1,Thompson Sampling
820,1,Thompson Sampling
821,1,Thompson Sampling
822,1,Thompson Sampling
823,1,Thompson Sampling
824,1,Thompson Sampling
825,1,Thompson Sampling
826,1,Thompson Sampling
827,0,Thompson Sampling
828,1,Thompson Sampling
829,1,Thompson Sampling
830,1,Thompson Sampling
831,1,Thompson Sampling
832,1,Thompson Sampling
833,1,Thompson Sampling
834,1,Thompson Sampling
835,1,Thompson Sampling
836,0,Thompson Sampling
837,1,Thompson Sampling
838,1,Thompson Sampling
839,1,Thompson Sampling
840,0,Thompson Sampling
841,1,Thompson Sampling
842,1,Thompson Sampling
843,1,Thompson Sampling
844,1,Thompson Sampling
845,0,Thompson Sampling
846,1,Thompson Sampling
847,1,Thompson Sampling
848,1,Thompson Sampling
849,0,Thompson Sampling
850,0,Thompson Sampling
851,1,Thompson Sampling
852,1,Thompson Sampling
853,1,Thompson Sampling
854,1,Thompson Sampling
855,1,Thompson Sampling
856,1,Thompson Sampling
857,1,Thompson Sampling
858,1,Thompson Sampling
859,1,Thompson Sampling
860,1,Thompson Sampling
861,1,Thompson Sampling
862,1,Thompson Sampling
863,1,Thompson Sampling
864,1,Thompson Sampling
865,1,Thompson Sampling
866,0,Thompson Sampling
867,1,Thompson Sampling
868,1,Thompson Sampling
869,1,Thompson Sampling
870,1,Thompson Sampling
871,1,Thompson Sampling
872,1,Thompson Sampling
873,1,Thompson Sampling
874,1,Thompson Sampling
875,1,Thompson Sampling
876,1,Thompson Sampling
877,0,Thompson Sampling
878,0,Thompson Sampling
879,1,Thompson Sampling
880,1,Thompson Sampling
881,1,Thompson Sampling
882,1,Thompson Sampling
883,1,Thompson Sampling
884,1,Thompson Sampling
885,0,Thompson Sampling
886,1,Thompson Sampling
887,1,Thompson Sampling
888,0,Thompson Sampling
889,1,Thompson Sampling
890,1,Thompson Sampling
891,0,Thompson Sampling
892,0,Thompson Sampling
893,1,Thompson Sampling
894,1,Thompson Sampling
895,1,Thompson Sampling
896,1,Thompson Sampling
897,1,Thompson Sampling
898,1,Thompson Sampling
899,1,Thompson Sampling
900,1,Thompson Sampling
901,1,Thompson Sampling
902,1,Thompson Sampling
903,1,Thompson Sampling
904,0,Thompson Sampling
905,1,Thompson Sampling
906,1,Thompson Sampling
907,0,Thompson Sampling
908,1,Thompson Sampling
909,1,Thompson Sampling
910,1,Thompson Sampling
911,0,Thompson Sampling
912,0,Thompson Sampling
913,1,Thompson Sampling
914,1,Thompson Sampling
915,1,Thompson Sampling
916,1,Thompson Sampling
917,1,Thompson Sampling
918,1,Thompson Sampling
919,1,Thompson Sampling
920,1,Thompson Sampling
921,1,Thompson Sampling
922,0,Thompson Sampling
923,1,Thompson Sampling
924,1,Thompson Sampling
925,0,Thompson Sampling
926,1,Thompson Sampling
927,1,Thompson Sampling
928,0,Thompson Sampling
929,1,Thompson Sampling
930,1,Thompson Sampling
931,1,Thompson Sampling
932,1,Thompson Sampling
933,1,Thompson Sampling
934,1,Thompson Sampling
935,0,Thompson Sampling
936,1,Thompson Sampling
937,1,Thompson Sampling
938,1,Thompson Sampling
939,1,Thompson Sampling
940,1,Thompson Sampling
941,1,Thompson Sampling
942,1,Thompson Sampling
943,1,Thompson Sampling
944,1,Thompson Sampling
945,1,Thompson Sampling
946,1,Thompson Sampling
947,1,Thompson Sampling
948,1,Thompson Sampling
949,1,Thompson Sampling
950,1,Thompson Sampling
951,1,Thompson Sampling
952,1,Thompson Sampling
953,1,Thompson Sampling
954,1,Thompson Sampling
955,1,Thompson Sampling
956,1,Thompson Sampling
957,1,Thompson Sampling
