Arm,Reward,Algorithm
862,1,Epsilon-Greedy
863,1,Epsilon-Greedy
864,1,Epsilon-Greedy
865,1,Epsilon-Greedy
866,1,Epsilon-Greedy
867,1,Epsilon-Greedy
868,1,Epsilon-Greedy
869,1,Epsilon-Greedy
870,1,Epsilon-Greedy
871,1,Epsilon-Greedy
872,1,Epsilon-Greedy
873,1,Epsilon-Greedy
874,0,Epsilon-Greedy
875,1,Epsilon-Greedy
876,1,Epsilon-Greedy
877,1,Epsilon-Greedy
878,1,Epsilon-Greedy
879,1,Epsilon-Greedy
880,0,Epsilon-Greedy
881,1,Epsilon-Greedy
882,1,Epsilon-Greedy
883,1,Epsilon-Greedy
884,1,Epsilon-Greedy
885,0,Epsilon-Greedy
886,1,Epsilon-Greedy
887,0,Epsilon-Greedy
888,1,Epsilon-Greedy
889,1,Epsilon-Greedy
890,1,Epsilon-Greedy
891,1,Epsilon-Greedy
892,0,Epsilon-Greedy
893,1,Epsilon-Greedy
894,1,Epsilon-Greedy
895,1,Epsilon-Greedy
896,1,Epsilon-Greedy
897,0,Epsilon-Greedy
898,1,Epsilon-Greedy
899,1,Epsilon-Greedy
900,1,Epsilon-Greedy
901,1,Epsilon-Greedy
902,1,Epsilon-Greedy
903,1,Epsilon-Greedy
904,1,Epsilon-Greedy
905,0,Epsilon-Greedy
906,0,Epsilon-Greedy
907,0,Epsilon-Greedy
908,1,Epsilon-Greedy
909,1,Epsilon-Greedy
910,1,Epsilon-Greedy
911,0,Epsilon-Greedy
912,1,Epsilon-Greedy
913,0,Epsilon-Greedy
914,1,Epsilon-Greedy
915,1,Epsilon-Greedy
916,1,Epsilon-Greedy
917,1,Epsilon-Greedy
918,1,Epsilon-Greedy
919,1,Epsilon-Greedy
920,1,Epsilon-Greedy
921,1,Epsilon-Greedy
922,1,Epsilon-Greedy
923,1,Epsilon-Greedy
924,0,Epsilon-Greedy
925,1,Epsilon-Greedy
926,1,Epsilon-Greedy
927,1,Epsilon-Greedy
